Pop	IndID	Cap	Brac_RowNr	SerBrac_RowNr	Brac_appress	Brac_Col	SerBrac_yes_no	Brac_Len	Brac_Wid	BracApCen_Len	BracApCen_Wid	pop_ind_cap	Cap_Len	Cap_Wid	Perc_SerBrac	Cap_Ratio	Brac_Ratio	ApCen_Ratio	relWid_BracApCen	relLen_BracApCen	taxon	pop_ind
LH	10	1	7	3	2	2	no	188.08	99.39	77.52	28	LH.10.1	13.54166667	12.29166667	42.8571428571429	0.90769230771503	0.528445342407486	0.361197110423117	0.281718482744743	0.412165036154828	hybrid1	LH.10
LH	13	1	7	7	2	1	yes	164.91	62.67	57.47	34.69	LH.13.1	13.95833333	12.29166667	100	0.880597015374471	0.380025468437329	0.603619279624152	0.553534386468805	0.348493117458007	hybrid1	LH.13
LH	14	1	8	2	1	1	no	199.54	59.9	47.29	32.25	LH.14.1	11.45833333	11.04166667	25	0.963636364207603	0.300190438007417	0.681962359906957	0.538397328881469	0.236995088704019	hybrid1	LH.14
LH	18	1	8	4	1	3	yes	242.86	74.71	45.27	42.85	LH.18.1	13.125	9.166666667	50	0.698412698438095	0.307625792637734	0.946542964435609	0.573551064114576	0.18640368936836	hybrid1	LH.18
LH	19	1	8	4	1	1	yes	165.42	54.93	36	33.36	LH.19.1	10.625	6.041666667	50	0.568627451011765	0.332063837504534	0.926666666666667	0.607318405243037	0.217627856365615	hybrid1	LH.19
LH	3	1	9	4	1	1	no	250.56	76.29	60	48.02	LH.3.1	16.66666667	11.66666667	44.4444444444444	0.70000000006	0.304477969348659	0.800333333333333	0.629440293616463	0.239463601532567	hybrid1	LH.3
LH	4	2	8	2	1	1	yes	216.79	63.25	55.46	36.1	LH.4.2	14.375	10.83333333	25	0.753623188173913	0.291756999861617	0.65091958168049	0.570750988142293	0.255823608100005	hybrid1	LH.4
LH	5	1	6	1	1	1	no	200.11	85.34	45.35	38.69	LH.5.1	14.16666667	9.791666667	16.6666666666667	0.691176470449135	0.426465444005797	0.853142227122381	0.453363018514179	0.22662535605417	hybrid1	LH.5
MC	10	1	7	3	1	2	no	192.13	71.91	48.18	25.65	MC.10.1	15.41666667	11.25	42.8571428571429	0.72972972957195	0.374277832717431	0.532378580323786	0.356695869837297	0.250767709363452	hybrid1	MC.10
MC	11	2	11	4	1	1	no	248.13	81.73	57.33	34.77	MC.11.2	16.04166667	8.958333333	36.3636363636364	0.558441558304739	0.329383790754846	0.606488749345892	0.425425180472287	0.231048240841494	hybrid1	MC.11
MC	12	1	9	4	1	1	no	207.46	82.25	61.42	38.18	MC.12.1	13.75	8.541666667	44.4444444444444	0.621212121236364	0.396461968572255	0.621621621621622	0.46419452887538	0.296057071242649	hybrid1	MC.12
MC	13	1	8	4	2	2	no	215.88	96.89	75.47	34.41	MC.13.1	15.41666667	13.75	50	0.89189189169905	0.4488141560126	0.455942758712071	0.355145009804933	0.349592366129331	hybrid1	MC.13
MC	14	2	11	5	2	1	no	282.82	109.73	69.45	42.75	MC.14.2	16.875	12.91666667	45.4545454545455	0.765432098962963	0.387985290997808	0.615550755939525	0.389592636471339	0.245562548617495	hybrid1	MC.14
MC	20	1	8	2	1	3	no	247.66	57.77	79.29	16.11	MC.20.1	14.79166667	12.70833333	25	0.8591549291585	0.233263344908342	0.203178206583428	0.278864462523801	0.32015666639748	hybrid1	MC.20
MC	3	1	7	1	3	2	no	251.47	98.24	80.55	24.15	MC.3.1	15.83333333	14.79166667	14.2857142857143	0.934210526722992	0.390662902135444	0.299813780260708	0.24582654723127	0.320316538752137	hybrid1	MC.3
MC	6	1	8	2	1	1	no	190.18	42.69	29.81	20.04	MC.6.1	11.66666667	11.875	25	1.01785714256633	0.224471553265328	0.672257631667226	0.469430780042164	0.156746240403828	hybrid1	MC.6
MC	7	2	8	4	3	2	yes	243.09	104.03	62.79	74.67	MC.7.2	15.41666667	13.33333333	50	0.864864864461651	0.427948496441647	1.18920210224558	0.717773719119485	0.258299395285697	hybrid1	MC.7
MC	8	1	10	5	2	2	yes	249.39	78.71	52.15	39.6	MC.8.1	13.33333333	14.58333333	50	1.09375000002344	0.315610088616224	0.75934803451582	0.503112692161098	0.209110228958659	hybrid1	MC.8
