0.555845	0.444155
0.585938	0.414062
0.607391	0.392609
0.494421	0.505579
0.405667	0.594333
0.53097	0.46903
0.587769	0.412231
0.463244	0.536756
0.582656	0.417344
0.621169	0.378831
0.612467	0.387533
0.456762	0.543238
0.435634	0.564366
0.630896	0.369104
0.619712	0.380288
0.539781	0.460219
0.685349	0.314651
0.428677	0.571323
0.705137	0.294863
0.99999	0.00001
0.99999	0.00001
0.606893	0.393107
0.819581	0.180419
0.876393	0.123607
0.468334	0.531666
0.958206	0.041794
0.530601	0.469399
0.927447	0.072553
0.720762	0.279238
0.99999	0.00001
0.99999	0.00001
0.782482	0.217518
0.697368	0.302632
0.62161	0.37839
0.68514	0.31486
0.536504	0.463496
0.492083	0.507917
0.541092	0.458908
0.729515	0.270485
0.738356	0.261644
0.639149	0.360851
0.462472	0.537528
0.651749	0.348251
0.56318	0.43682
0.723658	0.276342
0.794146	0.205854
0.772051	0.227949
0.641286	0.358714
0.766644	0.233356
0.862016	0.137984
0.733292	0.266708
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.981673	0.018327
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.996831	0.003169
0.99999	0.00001
0.99999	0.00001
0.953986	0.046014
0.99999	0.00001
0.9715	0.0285
0.99999	0.00001
0.995316	0.004684
0.981744	0.018256
0.999152	0.000848
0.99999	0.00001
0.95746	0.04254
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.707118	0.292882
0.615417	0.384583
0.608144	0.391856
0.621262	0.378738
0.71295	0.28705
0.589635	0.410365
0.540348	0.459652
0.734038	0.265962
0.61363	0.38637
0.655141	0.344859
0.662811	0.337189
0.733495	0.266505
0.629095	0.370905
0.558568	0.441432
0.738594	0.261406
0.744785	0.255215
0.690108	0.309892
0.850168	0.149832
0.664877	0.335123
0.749102	0.250898
0.712002	0.287998
0.659869	0.340131
0.739268	0.260732
0.99999	0.00001
0.942603	0.057397
0.99999	0.00001
0.956224	0.043776
0.966763	0.033237
0.690959	0.309041
0.964518	0.035482
0.9246	0.0754
0.95783	0.04217
0.99999	0.00001
0.99999	0.00001
0.974498	0.025502
0.880711	0.119289
0.99999	0.00001
0.992195	0.007805
0.00001	0.99999
0.00001	0.99999
0.00001	0.99999
0.00001	0.99999
0.562866	0.437134
0.754531	0.245469
0.73019	0.26981
0.694097	0.305903
0.691625	0.308375
0.673303	0.326697
0.684623	0.315377
0.668448	0.331552
0.679934	0.320066
0.388337	0.611663
0.81937	0.18063
0.704659	0.295341
0.779832	0.220168
0.817446	0.182554
0.838756	0.161244
0.780964	0.219036
0.637138	0.362862
0.618067	0.381933
0.561476	0.438524
0.53168	0.46832
0.667011	0.332989
0.584847	0.415153
0.675845	0.324155
0.632192	0.367808
0.566946	0.433054
0.624872	0.375128
0.736375	0.263625
0.688585	0.311415
0.63091	0.36909
0.710382	0.289618
0.6204	0.3796
0.715361	0.284639
0.699253	0.300747
0.624353	0.375647
0.64676	0.35324
0.666758	0.333242
0.657631	0.342369
0.643259	0.356741
0.716243	0.283757
0.725677	0.274323
0.750118	0.249882
0.774348	0.225652
0.196304	0.803696
0.00001	0.99999
0.119376	0.880624
0.312871	0.687129
0.057623	0.942377
0.796508	0.203492
0.157071	0.842929
0.293565	0.706435
0.20279	0.79721
0.00001	0.99999
0.00001	0.99999
0.139732	0.860268
0.00001	0.99999
0.00001	0.99999
0.30151	0.69849
0.00001	0.99999
0.101749	0.898251
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.847948	0.152052
0.578599	0.421401
0.974329	0.025671
0.99999	0.00001
0.00001	0.99999
0.895703	0.104297
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.94381	0.05619
0.901958	0.098042
0.971992	0.028008
0.99999	0.00001
0.99999	0.00001
0.90826	0.09174
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.996676	0.003324
0.99999	0.00001
0.99999	0.00001
0.99555	0.00445
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.99999	0.00001
0.369587	0.630413
0.99999	0.00001
0.967934	0.032066
0.373335	0.626665
0.733402	0.266598
0.343361	0.656639
0.357916	0.642084
0.42054	0.57946
0.370271	0.629729
0.438374	0.561626
0.358833	0.641167
0.29942	0.70058
0.220193	0.779807
0.306784	0.693216
0.00001	0.99999
0.00001	0.99999
0.00001	0.99999
0.00001	0.99999
0.00001	0.99999
0.00001	0.99999
0.00001	0.99999
0.486345	0.513655
0.00001	0.99999
0.00001	0.99999
0.494908	0.505092
0.00001	0.99999
0.00001	0.99999
0.00001	0.99999
0.454925	0.545075
0.439125	0.560875
0.343583	0.656417
0.387074	0.612926
0.523151	0.476849
0.409563	0.590437
0.99999	0.00001
0.356482	0.643518
0.399929	0.600071
0.459097	0.540903
0.412861	0.587139
0.402752	0.597248
0.433584	0.566416
0.440675	0.559325
0.418696	0.581304
0.00001	0.99999
0.00001	0.99999
0.141475	0.858525
0.301877	0.698123
0.220003	0.779997
0.148375	0.851625
0.014844	0.985156
0.121746	0.878254
0.00001	0.99999
0.068326	0.931674
	
